Pond Name,Total Area,% Commercial,% Residential,% Recreation,% Open Water,"% Transportation, Communications, Utilities",% Open Land,% Institutional/Governmental,% Industrial,% Agriculture,% Woodlands,% Other (Vacant/Construction),,% Commercial,% Residential,% Greenspace
Hospital,2534808.364,0.007973393,0,0.157213093,0.035775981,0.316093061,0.022158655,0.27413202,0.186653796,0,0,0,,0.784852271,0,0.215147729
Lot60,2535013.831,0,0,0.308264972,0.293441819,0.323912616,0,0.074380593,0,0,0,0,,0.398293209,0,0.601706791
Garner,2533578.862,0.001086588,0.248799505,0.449494107,0.030378554,0.2405155,0.029725747,0,0,0,0,0,,0.241602088,0.248799505,0.509598407
DobA7,2533151.946,0.290578658,0,0.020837879,0.18139099,0.048640553,0.45855192,0,0,0,0,0,,0.339219211,0,0.660780789
Owen,2534004.263,0,0.357315737,0.457360315,0.031756365,0.153567583,0,0,0,0,0,0,,0.153567583,0.357315737,0.48911668
HPChurch,2534820.56,0,0.410960944,0.057547483,0.147591252,0.090923631,0.21180631,0.081170379,0,0,0,0,,0.17209401,0.410960944,0.416945046
DobA8,2531512.19,0,0.304997676,0.049596222,0.040785127,0.153896482,0.251881573,0,0,0.198842919,0,0,,0.153896482,0.304997676,0.541105842
Midtown,2535293.573,0,0.22224717,0.205768604,0.045639697,0.090713824,0.150703866,0,0,0.276475338,0.0084515,0,,0.090713824,0.22224717,0.687039006
Elver,2531492.309,0.011777799,0,0.754453349,0.077890991,0.056456046,0.099421816,0,0,0,0,0,,0.068233845,0,0.931766155
TwoFountains,2532023.801,0,0.839518762,0.021645598,0.05616022,0.029751758,0.039982232,0.01294143,0,0,0,0,,0.042693188,0.839518762,0.11778805
Greentree,2531805.392,0,0.397266237,0.367324318,0.085359556,0.05399879,0.096051099,0,0,0,0,0,,0.05399879,0.397266237,0.548734973
MarionDunn,2532638.395,0.03608117,0.170239122,0.616366826,0.039726354,0.136733472,0.000853054,0,0,0,0,0,,0.172814643,0.170239122,0.656946235
Manitou,2532279.59,0.005574254,0.181423072,0.588146214,0.096351361,0.128505099,0,0,0,0,0,0,,0.134079353,0.181423072,0.684497576
MadCity,2531560.478,0.034067115,0,0.824584834,0.041147546,0.100200504,0,0,0,0,0,0,,0.13426762,0,0.86573238
Baxter,2530789.71,0,0.124908154,0.771164735,0.019068034,0.084859077,0,0,0,0,0,0,,0.084859077,0.124908154,0.790232769
DobA22,2530554.737,0,0.509298697,0.027258602,0.05384522,0.256415797,0.127035026,0,0,0,0,0.026146659,,0.282562456,0.509298697,0.208138847
DobA5,2534523.906,0.000193404,0.34100665,0.001731536,0.031740939,0.411053884,0.06243595,0.000122624,0,0.101442637,0.050272376,0,,0.411369912,0.34100665,0.247623438
DobA4,2535978.682,0,0.222645573,0,0.039022548,0.189034579,0.205746551,0.299667955,0,0,0,0.043882794,,0.532585328,0.222645573,0.244769099
DoorCreek,2536196.893,0,0,0.770329421,0.151016798,0,0.078142554,0,0,0,0.000511227,0,,0,0,1
CommAve,2537158.273,0.105780525,0.452714529,0,0.029088363,0.325801263,0.075561179,0.011054141,0,0,0,0,,0.442635929,0.452714529,0.104649542
