Pond Name,Total Area,% Commercial,% Residential,% Recreation,% Open Water,"% Transportation, Communications, Utilities",% Open Land,% Institutional/Governmental,% Industrial,% Agriculture,% Woodlands,% Other (Vacant/Construction),,% Commercial,% Residential,% Greenspace
Hospital,633702.5234,0,0,0.052539489,0.143103826,0.373158154,0.086804779,0.131693422,0.212700329,0,0,0,,0.717551905,0,0.282448095
Lot60,633755.2076,0,0,0.633399964,0.157041472,0.209558565,0,0,0,0,0,0,,0.209558565,0,0.790441435
Garner,633394.948,0,0.00950452,0.634785255,0.119693955,0.235814359,0.00020191,0,0,0,0,0,,0.235814359,0.00950452,0.754681121
DobA7,633287.5519,0.007423579,0,0,0.496622544,0,0.495953876,0,0,0,0,0,,0.007423579,0,0.992576421
Owen,633501.1927,0,0.09974243,0.665458224,0.112623418,0.122175928,0,0,0,0,0,0,,0.122175928,0.09974243,0.778081642
HPChurch,633705.6946,0,0.135171412,0.004365325,0.460016733,0,0.40044653,0,0,0,0,0,,0,0.135171412,0.864828588
DobA8,632876.1701,0,0.292251963,0,0.141084627,0.085283283,0.429596738,0,0,0.051783389,0,0,,0.085283283,0.292251963,0.622464754
Midtown,635287.3462,0,0.148658198,0.3023126,0.157685255,0.041929917,0.30287289,0,0,0.04654114,0,0,,0.041929917,0.148658198,0.809411885
Elver,632872.6457,0,0,0.528857583,0.291788257,0,0.17935416,0,0,0,0,0,,0,0,1
TwoFountains,633005.9636,0,0.832420385,0,0.167579615,0,0,0,0,0,0,0,,0,0.832420385,0.167579615
Greentree,632950.7568,0,0.085837626,0.483453865,0.281519789,0,0.149188719,0,0,0,0,0,,0,0.085837626,0.914162374
MarionDunn,633158.6966,0.019393608,0.006045028,0.734514378,0.158905643,0.081141343,0,0,0,0,0,0,,0.100534951,0.006045028,0.893420021
Manitou,633070.1122,0,0.043844368,0.62844191,0.207263415,0.120450308,0,0,0,0,0,0,,0.120450308,0.043844368,0.835705324
MadCity,632889.7735,0,0,0.828811623,0.124896669,0.046291709,0,0,0,0,0,0,,0.046291709,0,0.953708291
Baxter,632697.3062,0,0.042339673,0.913178693,0.044481634,0,0,0,0,0,0,0,,0,0.042339673,0.957660327
DobA22,632638.7161,0,0.286710102,4.16427E-06,0.074931426,0.339500347,0.298853961,0,0,0,0,0,,0.339500347,0.286710102,0.373789551
DobA5,633631.4949,0,0.217704166,0,0.126963651,0.370591932,0.249743596,0,0,0,0.034996655,0,,0.370591932,0.217704166,0.411703902
DobA4,633996.3328,0,0.142660684,0,0.137130965,0.163128767,0.28272729,0.274352293,0,0,0,0,,0.43748106,0.142660684,0.419858256
DoorCreek,634048.106,0,0,0.505335078,0.330500192,0,0.164164729,0,0,0,0,0,,0,0,1
CommAve,634289.5435,0,0.35481054,0,0.116353455,0.294318507,0.234517498,0,0,0,0,0,,0.294318507,0.35481054,0.350870953
