FID,Shape *,FID_newpon,First_Trea,Area,FID_Total_,OBJECTID,fea_type,mslink,No_bill,Proposed,Notes,FEA_AREA,ShapeSTAre,ShapeSTLen,BUILDINGFO,SOURCE,FootprintT,BuildingUs,BuildingCl,Name,Shape_STAr,Shape_STLe,Shape_Leng,Shape_Area,ImpArea,,Tot Imperv
34,Polygon ZM,0,PD 2348-002,58228826.73,1761,1761,P,37880, , , ,43314.57737,43314.57767,2288.401116,0, , , , , ,0,0,0.007549,0,76348.29091,,
35,Polygon ZM,0,PD 2348-002,58228826.73,1802,1802,P,4438, , , ,42772.05429,42772.05396,2760.411084,0, , , , , ,0,0,0.008859,0,80159.93208,,
36,Polygon ZM,0,PD 2348-002,58228826.73,1811,1811,P,4400, , , ,28540.04398,28540.04392,1664.418983,0, , , , , ,0,0,0.00544,0,56.819837,,
37,Polygon ZM,0,PD 2348-002,58228826.73,1851,1851,P,6040, , , ,31562.32278,31562.32278,1900.146497,0, , , , , ,0,0,0.006356,0,59024.9524,,
38,Polygon ZM,0,PD 2348-002,58228826.73,1915,1915,P,6027, , , ,27917.08822,27917.0882,1565.687055,0, , , , , ,0,0,0.005332,0,51499.06939,,
39,Polygon ZM,0,PD 2348-002,58228826.73,2037,2037,S,4449, , , ,38169.78892,38169.78903,2591.824767,0, , , , , ,0,0,0.008551,0,69671.68821,,
40,Polygon ZM,0,PD 2348-002,58228826.73,2122,2122,P,38722, , , ,36695.60266,36695.60257,2220.526786,0, , , , , ,0,0,0.007292,0,67534.74989,,
41,Polygon ZM,0,PD 2348-002,58228826.73,2173,2173,P,37867, , , ,36076.4946,36076.49475,2796.850618,0, , , , , ,0,0,0.009061,0,66032.30758,,
42,Polygon ZM,0,PD 2348-002,58228826.73,2198,2198,P,37830, , , ,35698.07116,35698.07068,2769.531374,0, , , , , ,0,0,0.00897,0,43126.76945,,
43,Polygon ZM,0,PD 2348-002,58228826.73,2254,2254,P,5981, , , ,25537.03642,25537.03607,1379.372042,0, , , , , ,0,0,0.004498,0,45925.79505,,
44,Polygon ZM,0,PD 2348-002,58228826.73,2280,2280,B,37869, , , ,34410.43484,34410.43481,922.528333,0, , , , , ,0,0,0.002927,0,1801.10962,,
45,Polygon ZM,0,PD 2348-002,58228826.73,2300,2300,P,4394, , , ,22198.57418,22198.57431,1467.622367,0, , , , , ,0,0,0.004789,0,41148.81133,,
46,Polygon ZM,0,PD 2348-002,58228826.73,2322,2322,P,3289, , , ,31818.43701,31818.43686,2202.63912,0, , , , , ,0,0,0.007593,0,59429.78063,,
47,Polygon ZM,0,PD 2348-002,58228826.73,2384,2384,P,4267, , , ,33002.50951,33002.50967,1298.421508,0, , , , , ,0,0,0.003758,0,61487.5769,,
48,Polygon ZM,0,PD 2348-002,58228826.73,2462,2462,B,4292, , , ,31793.40516,31793.40515,1222.520279,0, , , , , ,0,0,0.003812,0,1260.583335,,
49,Polygon ZM,0,PD 2348-002,58228826.73,2505,2505,P,4487, , , ,30897.74168,30897.74179,1594.33638,0, , , , , ,0,0,0.005145,0,11210.28125,,
50,Polygon ZM,0,PD 2348-002,58228826.73,2513,2513,B,4296, , , ,31097.76351,31097.76352,1199.965747,0, , , , , ,0,0,0.003857,0,5371.138073,,
51,Polygon ZM,0,PD 2348-002,58228826.73,2514,2514,P,3287, , , ,30761.16727,30761.16724,1595.171588,0, , , , , ,0,0,0.005366,0,57674.86848,,
52,Polygon ZM,0,PD 2348-002,58228826.73,2517,2517,B,6036, , , ,31071.92574,31071.92572,1140.215294,0, , , , , ,0,0,0.003696,0,2117.35477,,
53,Polygon ZM,0,PD 2348-002,58228826.73,2532,2532,P,4373, , , ,30134.01772,30134.01776,1306.942729,0, , , , , ,0,0,0.004564,0,56497.90082,,
54,Polygon ZM,0,PD 2348-002,58228826.73,2558,2558,P,37855, , , ,30181.67084,30181.67047,1752.094065,0, , , , , ,0,0,0.005595,0,55866.76818,,
55,Polygon ZM,0,PD 2348-002,58228826.73,2579,2579,P,5830, , , ,30497.91119,30497.91113,1680.607657,0, , , , , ,0,0,0.005775,0,57143.02032,,
56,Polygon ZM,0,PD 2348-002,58228826.73,2594,2594,P,3635818, , , ,30343.93454,30343.93451,1617.072924,0, , , , , ,0,0,0.005538,0,51768.7318,,
57,Polygon ZM,0,PD 2348-002,58228826.73,2749,2749,P,4390, , , ,28624.81328,28624.81332,1589.530208,0, , , , , ,0,0,0.005134,0,52098.75488,,
58,Polygon ZM,0,PD 2348-002,58228826.73,2769,2769,V,37875, , , ,18932.0182,18932.01834,1719.520647,0, , , , , ,0,0,0.005628,0,34371.88766,,
59,Polygon ZM,0,PD 2348-002,58228826.73,2774,2774,P,5936, , , ,28002.30197,28002.30206,1268.761349,0, , , , , ,0,0,0.004223,0,52469.75251,,
60,Polygon ZM,0,PD 2348-002,58228826.73,2900,2900,P,4303, , , ,26788.92576,26788.92578,1412.491063,0, , , , , ,0,0,0.00454,0,49579.8006,,
61,Polygon ZM,0,PD 2348-002,58228826.73,3158,3158,P,5988, , , ,24029.7398,24029.73972,909.586356,0, , , , , ,0,0,0.002883,0,1532.084133,,
62,Polygon ZM,0,PD 2348-002,58228826.73,3239,3239,S,2323444, , , ,15269.98995,15269.98999,1516.822797,0, , , , , ,0,0,0.00483,0,796.549878,,
63,Polygon ZM,0,PD 2348-002,58228826.73,3365,3365,B,38736, , , ,22331.42974,22331.42972,812.294923,0, , , , , ,0,0,0.002651,0,5054.975543,,
64,Polygon ZM,0,PD 2348-002,58228826.73,3384,3384,P,4268, , , ,22189.20222,22189.20218,952.144269,0, , , , , ,0,0,0.002893,0,40173.42229,,
65,Polygon ZM,0,PD 2348-002,58228826.73,3386,3386,P,6038, , , ,22176.21923,22176.2193,961.780159,0, , , , , ,0,0,0.003073,0,41554.94628,,
66,Polygon ZM,0,PD 2348-002,58228826.73,3484,3484,B,4297, , , ,21528.17242,21528.1723,841.262881,0, , , , , ,0,0,0.002731,0,1770.266358,,
67,Polygon ZM,0,PD 2348-002,58228826.73,3490,3490,B,38737, , , ,21506.55953,21506.5596,842.896576,0, , , , , ,0,0,0.002711,0,528.047789,,
68,Polygon ZM,0,PD 2348-002,58228826.73,3503,3503,B,4294, , , ,21394.55564,21394.5557,842.289715,0, , , , , ,0,0,0.002948,0,4114.121929,,
69,Polygon ZM,0,PD 2348-002,58228826.73,3528,3528,P,5979, , , ,21176.91713,21176.91711,1495.212879,0, , , , , ,0,0,0.00489,0,39296.80645,,
70,Polygon ZM,0,PD 2348-002,58228826.73,3560,3560,B,4298, , , ,20930.91505,20930.91504,845.229204,0, , , , , ,0,0,0.002741,0,1155.427315,,
71,Polygon ZM,0,PD 2348-002,58228826.73,3561,3561,P,5991, , , ,20930.79247,20930.79239,822.050353,0, , , , , ,0,0,0.002579,0,29733.11476,,
72,Polygon ZM,0,PD 2348-002,58228826.73,3565,3565,P,6030, , , ,20882.86815,20882.86813,1079.702089,0, , , , , ,0,0,0.003656,0,39038.91009,,
73,Polygon ZM,0,PD 2348-002,58228826.73,3578,3578,B,4299, , , ,20824.73516,20824.73523,832.393821,0, , , , , ,0,0,0.002732,0,987.124923,,
74,Polygon ZM,0,PD 2348-002,58228826.73,3619,3619,P,5975, , , ,20513.07828,20513.07825,944.497372,0, , , , , ,0,0,0.003062,0,8819.459064,,
75,Polygon ZM,0,PD 2348-002,58228826.73,3664,3664,B,6041, , , ,20273.29616,20273.2962,638.954687,0, , , , , ,0,0,0.002166,0,1285.243879,,
76,Polygon ZM,0,PD 2348-002,58228826.73,3685,3685,P,38753, , , ,19224.84465,19224.84454,1212.819869,0, , , , , ,0,0,0.004046,0,35838.79997,,
77,Polygon ZM,0,PD 2348-002,58228826.73,3746,3746,P,4422, , , ,19773.73365,19773.73377,1084.164648,0, , , , , ,0,0,0.00368,0,36861.61726,,
78,Polygon ZM,0,PD 2348-002,58228826.73,3946,3946,P,6024, , , ,18396.80366,18396.80374,1028.77638,0, , , , , ,0,0,0.003412,0,34401.4594,,
79,Polygon ZM,0,PD 2348-002,58228826.73,4010,4010,B,5935, , , ,18023.17905,18023.17905,557.338614,0, , , , , ,0,0,0.001882,0,4410.714633,,
80,Polygon ZM,0,PD 2348-002,58228826.73,4098,4098,B,5976, , , ,17613.55708,17613.5571,655.500853,0, , , , , ,0,0,0.002253,0,1359.938682,,
81,Polygon ZM,0,PD 2348-002,58228826.73,4105,4105,M,38757, , , ,16708.68197,16708.68198,708.653994,0, , , , , ,0,0,0.00235,0,30656.6636,,
82,Polygon ZM,0,PD 2348-002,58228826.73,4227,4227,P,6022, , , ,16992.35467,16992.35461,818.281427,0, , , , , ,0,0,0.002711,0,31841.7499,,
83,Polygon ZM,0,PD 2348-002,58228826.73,4242,4242,P,4371, , , ,16921.43998,16921.44,1236.453651,0, , , , , ,0,0,0.003882,0,31224.82623,,
84,Polygon ZM,0,PD 2348-002,58228826.73,4322,4322,P,4409, , , ,16143.13972,16143.13956,983.503596,0, , , , , ,0,0,0.003117,0,29919.49285,,
85,Polygon ZM,0,PD 2348-002,58228826.73,4342,4342,P,38563, , , ,16448.62147,16448.62152,1137.810273,0, , , , , ,0,0,0.003906,0,30157.62681,,
86,Polygon ZM,0,PD 2348-002,58228826.73,4352,4352,P,120725, , , ,16404.78455,16404.78458,1029.128971,0, , , , , ,0,0,0.003344,0,27445.0019,,
87,Polygon ZM,0,PD 2348-002,58228826.73,4471,4471,V,37808, , , ,11663.19671,11663.19663,886.142482,0, , , , , ,0,0,0.002886,0,21396.75592,,
88,Polygon ZM,0,PD 2348-002,58228826.73,4548,4548,B,4466, , , ,15685.00628,15685.00623,555.704033,0, , , , , ,0,0,0.00189,0,432.716526,,
89,Polygon ZM,0,PD 2348-002,58228826.73,4647,4647,B,5829, , , ,15329.37056,15329.37054,617.701924,0, , , , , ,0,0,0.002173,0,1342.577935,,
90,Polygon ZM,0,PD 2348-002,58228826.73,4667,4667,P,773510, , , ,15230.21478,15230.21454,830.958016,0, , , , , ,0,0,0.002704,0,28042.9322,,
91,Polygon ZM,0,PD 2348-002,58228826.73,4672,4672,B,4272, , , ,15178.54317,15178.54312,516.355212,0, , , , , ,0,0,0.001745,0,1466.546234,,
92,Polygon ZM,0,PD 2348-002,58228826.73,4709,4709,V,37878, , , ,10270.90597,10270.90598,1006.584327,0, , , , , ,0,0,0.003292,0,18666.22888,,
93,Polygon ZM,0,PD 2348-002,58228826.73,4770,4770,B,5989, , , ,14883.14136,14883.1413,556.790888,0, , , , , ,0,0,0.001806,0,995.877352,,
94,Polygon ZM,0,PD 2348-002,58228826.73,4777,4777,P,38636, , , ,14862.41318,14862.41293,1423.202935,0, , , , , ,0,0,0.004665,0,27767.21912,,
95,Polygon ZM,0,PD 2348-002,58228826.73,4994,4994,M,4385, , , ,14122.81323,14122.81317,475.787786,0, , , , , ,0,0,0.001533,0,26474.46007,,
96,Polygon ZM,0,PD 2348-002,58228826.73,5000,5000,B,4436, , , ,14103.03066,14103.03064,590.658075,0, , , , , ,0,0,0.001755,0,6019.980028,,
97,Polygon ZM,0,PD 2348-002,58228826.73,5069,5069,V,37877, , , ,9072.351449,9072.351288,1001.29027,0, , , , , ,0,0,0.003243,0,16418.94603,,
