site,date,point,water_dep_cm
AKVA,8/1/23,S3,102
AKVA,8/1/23,S4,28
NAT,8/3/23,L1,24
NAT,8/3/23,L2,214
NAT,8/3/23,L3,211
NAT,8/3/23,L4,202
NAT,8/3/23,L5,18
NAT,8/3/23,S1,20
NAT,8/3/23,S2,170
NAT,8/3/23,S3,186
NAT,8/3/23,S4,21
GPP,8/15/23,L1,25
GPP,8/15/23,L2,159
GPP,8/15/23,L3,110
GPP,8/15/23,L4,73
GPP,8/15/23,L5,36
GPP,8/15/23,S1,35
GPP,8/15/23,S2,104
GPP,8/15/23,S3,115
GPP,8/15/23,S4,26
