FID_main__,DN,area,perimeter,FID_Pond_W,Shape_Leng,Shape_Area,Watershed_,Percent_Pe,Percent_Im,Calc_Area,
154124,255,4546.44458,1088.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,3553.30726,
154185,255,185.7590332,87.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,185.7283969,
154212,255,46.08032227,33.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,46.0719995,
154250,255,30.23974609,25.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,30.2348779,
154262,255,24.48071289,25.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,24.47556666,
154315,255,109.4399414,62.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,109.4209576,
154339,255,104.0395508,49.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,104.0212652,
154361,255,9.360107422,14.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,9.358353493,
154364,255,164.159668,64.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,164.129823,
154377,255,496.7995605,169.2,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,496.7102379,
154420,255,394.9204102,136.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,394.8479491,
154427,255,30.59985352,26.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,30.59448601,
154441,255,20.52001953,21.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,20.51649186,
154445,255,9.359863281,14.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,9.358308157,
154459,255,1172.160645,267.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,1104.995554,
154470,255,41.03979492,34.8,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,41.03274315,
154554,255,43.55981445,30,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,43.5521449,
154567,255,26.99975586,24,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,26.99513411,
154621,255,7.919921875,12,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,7.918653389,
154817,255,63.71948242,39.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,63.70923849,
154836,255,177.1196289,74.4,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,177.0900425,
154855,255,95.76025391,66,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,95.74378178,
168357,255,14483901.23,1882215.6,35,12791.97349,3607220.177,Manitou Pond,65.49,34.51,15.81354955,
138652,255,3617.638184,669.6,31,6554.924862,1876998.629,Marion-Dunn,65.49,34.51,150.3414503,587304.4162
138988,255,43.56079102,36,31,6554.924862,1876998.629,Marion-Dunn,65.49,34.51,35.2214398,
139655,255,10.43994141,14.4,31,6554.924862,1876998.629,Marion-Dunn,65.49,34.51,10.43820014,
140026,255,14.04003906,18,31,6554.924862,1876998.629,Marion-Dunn,65.49,34.51,9.120331198,
140033,255,12.59985352,16.8,31,6554.924862,1876998.629,Marion-Dunn,65.49,34.51,12.59781718,
140172,255,533.1611328,205.2,31,6554.924862,1876998.629,Marion-Dunn,65.49,34.51,533.0681275,
140199,255,20.52001953,22.8,31,6554.924862,1876998.629,Marion-Dunn,65.49,34.51,20.51644642,
140382,255,10.08007813,15.6,31,6554.924862,1876998.629,Marion-Dunn,65.49,34.51,10.07825188,
140545,255,37.44067383,30,31,6554.924862,1876998.629,Marion-Dunn,65.49,34.51,37.43353661,
140587,255,1.799804688,6,31,6554.924862,1876998.629,Marion-Dunn,65.49,34.51,1.799687728,
140636,255,9181.438477,1568.4,31,6554.924862,1876998.629,Marion-Dunn,65.49,34.51,5324.58428,
140765,255,8.640136719,13.2,31,6554.924862,1876998.629,Marion-Dunn,65.49,34.51,8.638502844,
140781,255,11.52026367,18,31,6554.924862,1876998.629,Marion-Dunn,65.49,34.51,11.51799677,
140940,255,15535.08643,2889.6,31,6554.924862,1876998.629,Marion-Dunn,65.49,34.51,1365.638929,
141018,255,21.96044922,22.8,31,6554.924862,1876998.629,Marion-Dunn,65.49,34.51,21.95615746,
